Stage Name,Real Name,Group,Instagram,Profile Pic,Kpoppin Profile
26,Kim Jihoon,MASC,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_26.png,https://kpopping.com/profiles/artist/1065-26
A-Day,Song Han Gyeom,Seven O’Clock,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_a-day(1).png,https://kpopping.com/profiles/artist/1105-A-Day
A.C.E,Kim Dae Sung,MASC,https://www.instagram.com/aceseaaiite/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_ace(3).png,https://kpopping.com/profiles/artist/4829-A-C-E
ACE,Jang Woo Young,VAV,https://www.instagram.com/ace.vav/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_acc.png,https://kpopping.com/profiles/artist/1152-ACE
Aeji,Kwon Ae Ji,HashTag,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_aeji.png,https://kpopping.com/profiles/artist/4006-Aeji
Ah Young,Cho Ja-young,Dal Shabet,https://www.instagram.com/a_young91/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ahyoung(1).png,https://kpopping.com/profiles/artist/367-Ah-Young
Ahin,Lee Ahin,Momoland,https://www.instagram.com/momoland_official/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(25).png,https://kpopping.com/profiles/artist/609-Ahin
Ahra,Go Ahra,Favorite,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose-ahra.png,https://kpopping.com/profiles/artist/3668-Ahra
Ahyoung,Lee Ah Hyung,P.O.P,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ahyoung.png,https://kpopping.com/profiles/artist/4391-Ahyoung
Ailee,Lee Ye Jin,,http://instagram.com/aileeonline,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Ailee_Pose_ailesque.png,https://kpopping.com/profiles/artist/95-Ailee
Ain,Kim A In,TST,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ain.png,https://kpopping.com/profiles/artist/1127-Ain
Aini,unknown,PINK FANTASY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Aini_default_silhouette.png,https://kpopping.com/profiles/artist/6751-Aini
Alex,Alexandra Reid,RANIA,https://www.instagram.com/thealexreid/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_picsart_02_15_11_32_48_by_thunderingkitsune-dazduuz_1.png,https://kpopping.com/profiles/artist/965-Alex
Alex,Alexander Kim,High4,https://www.instagram.com/_imlxx/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_alex.png,https://kpopping.com/profiles/artist/1017-Alex
Alice,Song Joo-hee,Hello Venus,https://www.instagram.com/hv_alice/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Alice_Pose_alicesquare.png,https://kpopping.com/profiles/artist/71-Alice
Amber,Liu Yi Yun,f(x),http://instagram.com/ajol_llama,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_amber.png,https://kpopping.com/profiles/artist/96-Amber
Anda,Won Minji,,http://instagram.com/_AND_A,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Anda_Pose_andasquare.png,https://kpopping.com/profiles/artist/108-Anda
Andy,Lee Sun Ho,Shinhwa,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_andy(1).png,https://kpopping.com/profiles/artist/1116-Andy
Anne,Kim Seung Yeon,S.I.S,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_anne.png,https://kpopping.com/profiles/artist/2359-Anne
Anne,Lee Seoyoung,GWSN,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_GWSN_anne1_350.png,https://kpopping.com/profiles/artist/5850-Anne
Anthony,Anthony Lo,VARSITY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_anthony.png,https://kpopping.com/profiles/artist/4531-Anthony
Arang,unknown,PINK FANTASY,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Arang_default_silhouette.png,https://kpopping.com/profiles/artist/6757-Arang
Areum,Lee Areum,,http://instagram.com/army1004#,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Areum_Pose_squareaerum.png,https://kpopping.com/profiles/artist/171-Areum
Arin,Choi Yewon,Oh My Girl,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_in.png,https://kpopping.com/profiles/artist/439-Arin
Aron,Kwak Young Min,NU'EST,https://www.instagram.com/nuestaron/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_aron___nu__est_png_by_sellscarol-d5jod9z.png,https://kpopping.com/profiles/artist/730-Aron
Aryoung,Lee Ah Ryoung,GIRLSGIRLS,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_80843_original_2.png,https://kpopping.com/profiles/artist/974-Aryoung
Ash B,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ash-b.png,https://kpopping.com/profiles/artist/2222-Ash-B
Ashley,Choi Bitna,Ladies' Code,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ashley.png,https://kpopping.com/profiles/artist/1639-Ashley
Asol,unknown,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_asol.png,https://kpopping.com/profiles/artist/2223-Asol
Ato,Park SungHyun,Be.A,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ato(1).png,https://kpopping.com/profiles/artist/2019-Ato
Aurora,Yang Lan,NATURE,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bnbn.png,https://kpopping.com/profiles/artist/5412-Aurora
Ayno,Noh Yoonho,VAV,https://www.instagram.com/ayno.vav/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_ayno.png,https://kpopping.com/profiles/artist/1153-Ayno
B-Bomb,Lee Min Hyuk,Block B,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bb.png,https://kpopping.com/profiles/artist/542-B-Bomb
B-Joo,Kim Byung Joo,Topp Dogg,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(27).png,https://kpopping.com/profiles/artist/579-B-Joo
B:eta,Ji Ha Young,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_beta.png,https://kpopping.com/profiles/artist/1852-B-eta
B.I,Kim Hanbin,iKON,https://www.instagram.com/shxxbi131/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose(22).png,https://kpopping.com/profiles/artist/1547-B-I
B.Nish,Yubon,D.I.P,https://www.instagram.com/bon_and_b.nish/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bnish(1).png,https://kpopping.com/profiles/artist/1789-B-Nish
B.S.,Lee Yeong Su,14U,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bs.png,https://kpopping.com/profiles/artist/4595-B-S
B.Top,Park Hyojung,Zetta,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/B(1).png,https://kpopping.com/profiles/artist/1759-B-Top
Baby Soul,Lee Soo Jung,Lovelyz,https://www.instagram.com/official_lvlz8_/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_babysoulpng(1).png,https://kpopping.com/profiles/artist/1979-Baby-Soul
Babylon,Lee Jongmin,,https://www.instagram.com/thebabylon/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_babylon.png,https://kpopping.com/profiles/artist/1983-Babylon
Bada,Choi Sung Hee,S.E.S,https://www.instagram.com/bada0228/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bada.png,https://kpopping.com/profiles/artist/3107-Bada
Baek A-yeon,Baek A-yeon,,https://www.instagram.com/ayeoniiiiii/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Baek_A-yeon_Pose_baekapng.png,https://kpopping.com/profiles/artist/241-Baek-A-yeon
Baekah,Kim SuA,NeonPunch,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_baekah.png,https://kpopping.com/profiles/artist/4926-Baekah
Baekgyeol,Jung Semin,GreatGuys,https://www.instagram.com/baekgyeol97/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Baekgyeol_default_silhouette.png,https://kpopping.com/profiles/artist/5480-Baekgyeol
Baekho,Kang Dong Ho,NU'EST,https://www.instagram.com/realbaekho/?hl=en,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(29).png,https://kpopping.com/profiles/artist/731-Baekho
Baekhyun,Byun Baek-hyun,"Exo, Exo-CBX",https://www.instagram.com/baekhyunee_exo/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Baekhyun_Pose_baekhyunsquare.png,https://kpopping.com/profiles/artist/213-Baekhyun
Baekyoung,Song Baekyoung,,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Baekkyung_default_silhouette.png,https://kpopping.com/profiles/artist/5870-Baekyoung
Bambam,Kunpimook Bhuwakul,GOT7,https://www.instagram.com/bambam1a/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Bambam_Pose_bambampng.png,https://kpopping.com/profiles/artist/234-Bambam
Bang Chan,Chris Bang,Stray Kids,https://www.instagram.com/realstraykids/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_chanside.png,https://kpopping.com/profiles/artist/2633-Bang-Chan
Baram,Lee Youngjun,Bigstar,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/Baram_default_silhouette.png,https://kpopping.com/profiles/artist/1740-Baram
Baro,Cha Sun Woo,B1A4,https://www.instagram.com/baroganatanatda/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/pose_pose(31).png,https://kpopping.com/profiles/artist/939-Baro
Baron,Choi Chung Hyeob,VAV,https://www.instagram.com/baron.vav/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_baron.png,https://kpopping.com/profiles/artist/1151-Baron
Bawool,Kim Bawool,The King,https://www.instagram.com/theking_wool/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_bawool(1).png,https://kpopping.com/profiles/artist/1758-Bawool
Been,Park Young Bin,MVP,,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_pose_been.png,https://kpopping.com/profiles/artist/1073-Been
Bekah,Rebekah Kim,After School,https://www.instagram.com/xoxobek/,https://kpopping.com/uploads/documents/encyclopedia_pose_sidebar_top-kept/second_bekah1(1).png,https://kpopping.com/profiles/artist/1846-Bekah
